product_id,post_name,product_type,priorite_decisionnelle,decision_score,bc05_iforest_flag,bc05_iforest_score,if_component,knn_component,kmeans_component,shap_component,impact_component,shap_top_driver,lecture_strategique,price,purchase_price,taux_marge,stock_quantity,total_sales_clean,ca_par_article
5047,champagne-petit-lebrun-fils-blanc-de-blancs-grand-cru,Champagne,A surveiller,0.6473914718170808,True,-0.008852455260450531,0.9151515151515152,0.9393939393939394,0.9745454545454544,0.3878541121102016,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),22.5,13.78,,76,8.0,
6202,domaine-clerget-echezeaux-en-orveaux-2015,Vin,A surveiller,0.6469915481411624,True,-0.1144817347406808,0.9745454545454545,0.8751515151515151,0.7725606060606061,0.6371351783813216,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),116.4,63.15,,12,5.0,
4139,zind-humbrecht-gewurzt-grand-cru-rangen-de-thann-clos-saint-urbain-2013,Vin,A surveiller,0.6451941170454508,True,-0.008616692148266991,0.9139393939393939,0.9927272727272727,0.8925714285714286,0.3858113003246378,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),77.4,39.59,,1,1.0,
4055,,,A surveiller,0.6418394625941427,True,-0.10049785548743606,0.9696969696969697,0.8981818181818182,0.7496515151515151,0.5884628077596091,0.0,bc05_std_price,Signal a confirmer (driver principal: bc05_std_price),86.1,37.88,,0,,
6215,domaine-des-comtes-lafon-volnay-1er-cru-champans-2014,Vin,A surveiller,0.6408277797927943,True,-0.09877056046949528,0.9684848484848485,0.8812121212121212,0.7708636363636363,0.5841035555036996,0.0,bc05_std_price,Signal a confirmer (driver principal: bc05_std_price),115.0,56.45,,14,4.0,
4407,cognac-frapin-cigar-blend,Cognac,A surveiller,0.6391599847302811,True,-0.12734820293489957,0.9793939393939394,0.833939393939394,0.7538939393939393,0.6546983321512952,0.0,bc05_std_price,Signal a confirmer (driver principal: bc05_std_price),104.0,46.71,,14,5.0,
4356,champagne-egly-ouriet-premier-cru-vrigny,Champagne,A surveiller,0.6369188148280026,True,-0.012137365683370538,0.9175757575757576,0.9490909090909091,0.9134545454545453,0.34809723918911645,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),51.6,31.0,,81,3.0,
4631,marcel-windholtz-eau-de-vie-de-baie-de-houx,Vin,A surveiller,0.6364338841655032,True,-0.006271783517434293,0.9103030303030303,0.9915151515151515,0.8756017316017315,0.33699685031304044,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),76.8,38.49,,1,1.0,
4141,gosset-champagne-grande-reserve,Champagne,A surveiller,0.636023010773751,True,-0.025209367638293623,0.9357575757575758,0.9503030303030303,0.8413333333333333,0.3903513198587232,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),39.0,24.86,,123,8.0,
5008,domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2013,Vin,A surveiller,0.6340653323299615,True,-0.07993469617872273,0.96,0.8703030303030304,0.7547424242424242,0.587933626329918,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),105.0,56.42,,12,7.0,
