product_id,bc05_iforest_score,price,purchase_price,taux_marge,stock_quantity,ca_par_article,total_sales_clean,bc05_std_price,bc05_std_purchase_price,bc05_std_taux_marge
4142,-0.021737743813313393,53.0,32.15,0.6485225505443235,125,212.0,4.0,0.7796072241307701,1.0451045067433775,-1.0116966676011507
4046,-0.021656491195441552,80.0,40.92,0.9550342130987292,2,160.0,2.0,1.7909991407717372,1.6477289079250237,0.1485743396276956
5779,-0.02071584937143711,5.8,2.88,1.0138888888888888,30,52.199999999999996,9.0,-0.9884556819971426,-0.9661630214877263,0.3713631672699547
4391,-0.019404113987639082,49.5,22.01,1.2489777373920943,7,247.5,5.0,0.6485008645662003,0.34834151609549957,1.261269844124927
4392,-0.019404113987639082,49.5,22.01,1.2489777373920943,3,148.5,3.0,0.6485008645662003,0.34834151609549957,1.261269844124927
6129,-0.0173622862215157,5.2,2.74,0.8978102189781021,68,104.0,20.0,-1.0109310579224975,-0.9757830233309908,-0.0680416962603757
4334,-0.016415890172234326,49.0,30.01,0.6327890703098966,142,343.0,7.0,0.6297713846284047,0.8980559071391904,-1.0712542740122064
4396,-0.01582063379516041,62.0,28.42,1.1815622800844474,0,0.0,0.0,1.1167378630110925,0.7888001719192568,1.0060749849757988
5760,-0.015803436712554575,13.1,8.43,0.5539739027283511,24,91.7,7.0,-0.7150052749053256,-0.5847986627011658,-1.3696016618820508
4150,-0.015073995455200162,59.0,35.45,0.6643159379407615,123,354.0,6.0,1.0043609833843183,1.2718616930489002,-0.9519122882750691
4797,-0.014044869666132609,78.0,42.32,0.8431001890359168,5,390.0,5.0,1.7160812210205545,1.7439289263576696,-0.27514135771378717
4995,-0.014044869666132609,78.0,42.32,0.8431001890359168,6,312.0,4.0,1.7160812210205545,1.7439289263576696,-0.27514135771378717
5777,-0.012694781140454858,5.7,3.03,0.8811881188118814,51,91.2,16.0,-0.9922015779847018,-0.9558558766556571,-0.13096308966313525
4356,-0.012137365683370538,51.6,31.0,0.6645161290322581,81,154.8,3.0,0.7271646803049422,0.966083063030847,-0.9511544837679478
5778,-0.011798086654387085,5.8,3.09,0.8770226537216829,44,98.6,17.0,-0.9884556819971426,-0.9517330187228293,-0.14673106513102924
5047,-0.008852455260450531,22.5,13.78,0.632801161103048,76,180.0,8.0,-0.36289105207476674,-0.2171771636906975,-1.0712085054543936
4139,-0.008616692148266991,77.4,39.59,0.9550391513008335,1,77.4,1.0,1.6936058450951998,1.5563388904140103,0.1485930327262934
6299,-0.007820101500073173,78.0,41.51,0.87906528547338,0,312.0,4.0,1.7160812210205545,1.6882703442644957,-0.1389988751706599
5761,-0.007743887190174159,19.5,12.07,0.6155758077879039,125,195.0,10.0,-0.47526793170154086,-0.33467861477628635,-1.1364134567905844
4631,-0.006271783517434293,76.8,38.49,0.9953234606391269,1,76.8,1.0,1.6711304691698448,1.4807531616455027,0.30108548858240186
4393,-0.004947596571214241,57.0,26.13,1.1814006888633755,5,171.0,3.0,0.9294430636331356,0.6314444274830001,1.0054632966397987
