product_id,post_name,product_type,priorite_decisionnelle,decision_score,bc05_iforest_flag,bc05_iforest_score,if_component,knn_component,kmeans_component,shap_component,impact_component,shap_top_driver,lecture_strategique,price,purchase_price,taux_marge,stock_quantity,total_sales_clean,ca_par_article
4892,jacqueson-rully-rouge-les-chaponnieres-2018,Vin,Normal,0.2442771790071069,False,0.11929924778664736,0.38181818181818183,0.48363636363636364,0.15041701276726657,0.10441899819289643,0.0,bc05_std_purchase_price,Conforme au profil courant,20.1,10.9,,30,9.0,
5807,arcole-saint-emilion-grand-cru-2016,Vin,Normal,0.2431826817992966,False,0.1267342260695309,0.20424242424242425,0.610909090909091,0.3141745885248423,0.12601948066024787,0.0,bc05_std_price,Conforme au profil courant,27.3,13.82,,12,4.0,
4032,pierre-jean-villa-igp-gamine-2018,Vin,Normal,0.24309566562483398,False,0.11354262978892055,0.4890909090909091,0.3393939393939394,0.1003564067066605,0.13436144012774306,0.0,bc05_std_price,Conforme au profil courant,14.1,6.92,,26,12.0,
4050,pierre-gaillard-saint-joseph-blanc-2019,Vin,Normal,0.2424428481262936,False,0.1330118076802333,0.06666666666666667,0.6921212121212121,0.4592654976157514,0.15128781059688495,0.0,bc05_std_purchase_price,Conforme au profil courant,21.8,11.26,,42,12.0,
6592,domaine-de-la-monardiere-vacqueyras-galejade-2018,Vin,Normal,0.241682575017395,False,0.11589180869354732,0.43636363636363634,0.3975757575757576,0.14617458852484233,0.09332144314426252,0.0,bc05_std_price,Conforme au profil courant,24.4,12.1,,29,9.0,
6824,,,Normal,0.2414920132568445,False,0.12621838017958892,0.2206060606060606,0.4993939393939394,0.42023519458544834,0.12396128008421173,0.0,bc05_std_purchase_price,Conforme au profil courant,28.0,14.32,,8,,
4267,domaine-bulliat-morgon-amphore-cou-de-jus-2019,Vin,Normal,0.24053378767012631,False,0.11276439603833904,0.503030303030303,0.3333333333333333,0.04350792185817566,0.16431841815642378,0.0,bc05_std_price,Conforme au profil courant,19.0,9.33,,26,12.0,
4891,jacqueson-rully-blanc-1er-cru-la-pucelle-2018,Vin,Normal,0.24035107558816074,False,0.12644244017106493,0.21454545454545454,0.5042424242424243,0.4176897400399938,0.1248549337004049,0.0,bc05_std_purchase_price,Conforme au profil courant,27.9,14.7,,8,4.0,
4269,serol-cote-roannaise-originelles-2019,Vin,Normal,0.23865361517088868,False,0.10985846666253318,0.5551515151515152,0.15151515151515152,0.2386594370096908,0.060062147709502044,0.0,bc05_std_taux_marge,Conforme au profil courant,10.2,5.32,,28,12.0,
6204,domaine-giudicelli-muscat-du-cap-corse-2016,Vin,Normal,0.2379917738445203,False,0.12512947902273003,0.25212121212121213,0.5551515151515152,0.26241701276726653,0.11962555262763669,0.0,bc05_std_taux_marge,Conforme au profil courant,31.0,15.86,,17,9.0,
